Time,Centroid X,Centroid Y,Std Dev X,Std Dev Y
02:00:30,513,419,133.4541119636259,94.12226091632095
02:01:21,978,397,142.414886862294,100.38426171467319
02:01:28,218,490,125.07197927593535,102.53292154230269
02:01:33,236,161,134.06714735534578,91.73330910852393
02:46:09,236,161,134.06714735534578,91.73330910852393
02:46:19,236,161,134.06714735534578,91.73330910852393
02:46:21,236,161,134.06714735534578,91.73330910852393
12:55:05,513,419,133.4541119636259,94.12226091632095
12:55:07,513,419,133.4541119636259,94.12226091632095
12:55:09,513,419,133.4541119636259,94.12226091632095
12:55:11,513,419,133.4541119636259,94.12226091632095
12:55:13,513,419,133.4541119636259,94.12226091632095
12:55:15,513,419,133.4541119636259,94.12226091632095
13:01:29,513,419,133.4541119636259,94.12226091632095
